Index,"('infinite_sources_0', 'i_bus_d')","('infinite_sources_0', 'i_bus_q')","('pa_rc_0', 'v_bus_D')","('pa_rc_0', 'v_bus_Q')","('infinite_sources_1', 'i_bus_d')","('infinite_sources_1', 'i_bus_q')","('gfmi_c_0', 'angle_pc')","('gfmi_c_0', 'w_pc')","('gfmi_c_0', 'p_pc')","('gfmi_c_0', 'q_pc')","('gfmi_c_0', 'pi_vc')","('gfmi_c_0', 'i_vsc_d')","('gfmi_c_0', 'i_vsc_q')","('gfmi_c_0', 'i_bus_d')","('gfmi_c_0', 'i_bus_q')","('gfmi_c_0', 'v_lcl_sh_d')","('gfmi_c_0', 'v_lcl_sh_q')","('pa_rc_1', 'v_bus_D')","('pa_rc_1', 'v_bus_Q')","('se_rl_0', 'i_br_D')","('se_rl_0', 'i_br_Q')"
"('infinite_sources_0', 'i_bus_d')",-7.5398223686155035,376.99111843077515,-753.8652700643909,-13.280364960717803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('infinite_sources_0', 'i_bus_q')",-376.99111843077515,-7.5398223686155035,13.280364960717803,-753.8652700643909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_0', 'v_bus_D')",5653.989497212984,-99.60273670736983,-282.7433374093647,376.99111843077515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5654.8667481872935,0.0
"('pa_rc_0', 'v_bus_Q')",99.60273670736983,5653.989497212984,-376.99111843077515,-282.7433374093647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5654.8667481872935
"('infinite_sources_1', 'i_bus_d')",0.0,0.0,0.0,0.0,-7.5398223686155035,376.99111843077515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-753.7262515425205,-19.64564171535687,0.0,0.0
"('infinite_sources_1', 'i_bus_q')",0.0,0.0,0.0,0.0,-376.99111843077515,-7.5398223686155035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.64564171535687,-753.7262515425205,0.0,0.0
"('gfmi_c_0', 'angle_pc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.99111843077515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'w_pc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'p_pc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000.0,0.0,0.0,0.0,0.0,985.685816402964,-103.87515362297101,37.32792640902399,32.05796225979926,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'q_pc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000.0,0.0,0.0,0.0,-103.87515362297101,-985.685816402964,-32.05796225979926,37.32792640902399,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'pi_vc')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,-9.944929721844156,1.04803283707178,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'i_vsc_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.085036540151386,0.0,-37.69911184307752,3769.9111843077517,-75.39822368615502,376.99111843077515,0.0,0.0,-7519.061362861238,395.09907139986876,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'i_vsc_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-389.58309610689395,0.0,0.0,0.0,-376.99111843077515,-75.39822368615502,0.0,0.0,0.0,-3769.9111843077517,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'i_bus_d')",0.0,0.0,0.0,0.0,0.0,0.0,211.68518349014175,12.085567046933303,0.0,0.0,0.0,0.0,0.0,-56.54866776461627,376.99111843077515,1884.9555921538758,0.0,-1871.0715898842975,-228.3608765091262,0.0,0.0
"('gfmi_c_0', 'i_bus_q')",0.0,0.0,0.0,0.0,0.0,0.0,1867.9487142736125,-14.072296725639621,0.0,0.0,0.0,0.0,0.0,-376.99111843077515,-56.54866776461627,0.0,1884.9555921538758,228.3608765091262,-1871.0715898842975,0.0,0.0
"('gfmi_c_0', 'v_lcl_sh_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.16001034149242,0.0,0.0,0.0,3769.9111843077517,0.0,-3769.9111843077517,0.0,-3769.9111843077517,376.99111843077515,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'v_lcl_sh_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-371.59479834710504,0.0,0.0,0.0,0.0,3769.9111843077517,0.0,-3769.9111843077517,-376.99111843077515,-3769.9111843077517,0.0,0.0,0.0,0.0
"('pa_rc_1', 'v_bus_D')",0.0,0.0,0.0,0.0,5652.946858304169,-147.34231212846495,-205.52094019317414,0.0,0.0,0.0,0.0,0.0,0.0,5613.2147415868185,-685.0826261019654,0.0,0.0,-282.7433374093647,376.99111843077515,5654.8667481872935,0.0
"('pa_rc_1', 'v_bus_Q')",0.0,0.0,0.0,0.0,147.34231212846495,5652.946858304169,187.5673138195804,0.0,0.0,0.0,0.0,0.0,0.0,685.0826261019654,5613.2147415868185,0.0,0.0,-376.99111843077515,-282.7433374093647,0.0,5654.8667481872935
"('se_rl_0', 'i_br_D')",0.0,0.0,753.9822368615503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-753.9822368615503,0.0,-7.5398223686155035,376.99111843077515
"('se_rl_0', 'i_br_Q')",0.0,0.0,0.0,753.9822368615503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-753.9822368615503,-376.99111843077515,-7.5398223686155035
