Index,"('infinite_sources_0', 'i_bus_d')","('infinite_sources_0', 'i_bus_q')","('pa_rc_0', 'v_bus_D')","('pa_rc_0', 'v_bus_Q')","('', 'x0')","('', 'x1')","('', 'x2')","('', 'x3')","('', 'x4')","('', 'x5')","('', 'x6')","('', 'x7')","('', 'x8')","('', 'x9')"
"('infinite_sources_0', 'i_bus_d')",-7.5398223686155035,376.99111843077515,-753.8652700643909,-13.280364960717803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('infinite_sources_0', 'i_bus_q')",-376.99111843077515,-7.5398223686155035,13.280364960717803,-753.8652700643909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_0', 'v_bus_D')",5653.989497212984,-99.60273670736983,-209.9626661477693,618.2282058914707,-144.66851513114227,1432.4528122210866,-1413.0404830232806,-2827.4333740936668,-4.395652275548419e-13,-1080.1489748572474,131.44510688766366,2.0296259624288346,-2.175873452270144,-449.2170846716222
"('pa_rc_0', 'v_bus_Q')",99.60273670736983,5653.989497212984,-808.7201136042601,-1175.2134019115488,-1321.8882223398452,137.19006664639338,48.557363361888086,2.010835786128623e-12,-2827.4333740936613,-121.90666963325056,-1073.9507028989835,0.13505741663715934,-1.1575256108183818,1699.9580740943138
"('', 'x0')",0.0,0.0,-0.9234380816041118,0.16056836031493626,-4.553370462081794,-2.6822609464516793e-13,3.112169909199755e-13,-1.450982471033281e-15,6.617652434684274e-14,-1.6417227016989412e-14,-9.336344078147669e-14,3.624651991913215e-15,2.900015413467185e-14,2.9954550715575954e-13
"('', 'x1')",0.0,0.0,1.724945402935556,27.416248322255772,5.572816779233659e-13,-11.779755450123497,-4.4230987005511393e-13,-1.224582995245662e-13,-1.8587039731770684e-13,-4.3620849834996114e-13,2.3796434330808296e-13,8.64663617990182e-14,1.0152198277520625e-12,-2.4338221596647054e-12
"('', 'x2')",0.0,0.0,-1.7445106178135508,29.496489260438242,5.632479864879407e-13,5.5852703071084454e-14,-57.269322616771504,-1.4086470844790457e-13,-2.5257267967935743e-13,-4.1639616519692876e-13,2.185827322844842e-13,1.1297697976453661e-13,1.0384125494582844e-12,-1.9630882187787246e-12
"('', 'x3')",0.0,0.0,753.9822368615479,-1.5810542799742503e-11,-1.2348467923615445e-13,-4.811859888062493e-13,4.759930967936341e-13,-7.539822368615712,376.99111843077486,-2.872117728710513e-14,-1.1044439337670369e-13,-1.4149862052136327e-13,-2.033745174873492e-14,-1.9780801048057874e-13
"('', 'x4')",0.0,0.0,1.7224920563086946e-11,753.9822368615496,1.3514314734299893e-14,7.010571956325128e-13,-3.674115373786191e-13,-376.99111843077543,-7.5398223686153,-5.866160545292455e-13,2.279418176020021e-13,-4.029861712018983e-13,5.4644060528321456e-14,4.410779762633763e-13
"('', 'x5')",0.0,0.0,980.5097337868198,113.80017461393757,-7.049877023456683e-13,-5.369109196359015e-13,5.142293446340832e-13,-6.100649128013607e-13,5.751356913284339e-13,-35.388857823028665,377.66807357158257,5.381072843839279e-13,6.144832912131793e-16,-3.8118277007383717e-13
"('', 'x6')",0.0,0.0,-94.72977346526696,895.9952155151296,-4.0640584057134595e-13,-1.4281133415777508e-12,1.1085309452264813e-12,-8.224032010246097e-13,-4.96563045243077e-13,-377.66807357158166,-35.388857823028914,3.7139711543968763e-13,9.843855286057372e-14,1.774684024460714e-12
"('', 'x7')",0.0,0.0,-330.8206517358017,123.28007081158974,-8.744381519319291e-13,-2.63650180089463e-13,-6.658755639392533e-13,9.699321091461955e-14,3.6701742299597e-15,-2.9087825695801407e-13,8.487940490918554e-13,-1000.7772013564274,0.8457475308828686,3.999036931163247e-12
"('', 'x8')",0.0,0.0,359.4210323944751,1303.3117099657436,5.155507904542131e-12,-5.312355065747623e-12,3.507187781905912e-12,-2.582442410399442e-12,-2.5006135648198985e-12,1.2247723766030199e-12,3.5413506765284975e-13,-0.8457475308831307,-1000.7772013564264,1.1616682201282117e-11
"('', 'x9')",0.0,0.0,3185.911763556952,6391.15104303822,-2.235515872314357e-11,3.5690877205868204e-11,-3.9517437135045465e-11,-3.317896672296349e-12,-2.407582357387891e-11,2.536534571758164e-12,3.937035816181223e-11,-1.0688936115697171e-11,-5.765184852208598e-13,-13272.34756785984
